name,overall,potential,value_million_euro,position,nationality,age,height,team,formation,league,wage_million_euro,preferred_foot,weak_foot_rating,skill_moves,attacking_work_rate,defensive_work_rate,pace_total,shooting_total,passing_total,dribbling_total,defending_total,physicality_total,finishing,heading_accuracy,dribbling,ball_control,balance,shot_power,strength,long_shots,aggression,positioning,vision,penalties,mentality,goalkeeper_diving,goalkeeper_handling,goalkeeper_kicking,goalkeeper_positioning,goalkeeper_reflexes,passing,speed
Pierre Kalulu,78,85,26.5,Defender,France,22,184,AC Milan,4-2-3-1,it Serie A,2.444,1,3,2,1,2,80,50,68,69,79,75,43,75,64,74,69,66,75,51,77,60,59,49,77,0,0,0,0,0,71.5,80.0
Piero Hincapié,78,85,26.5,Full Back,Ecuador,20,184,Bayer Leverkusen,4-2-3-1,de Bundesliga,1.716,0,2,3,1,1,83,39,64,71,78,74,40,76,70,73,65,50,74,27,71,55,53,33,76,0,0,0,0,0,76.0,82.5
Giorgi Mamardashvili,78,84,18.5,Goalkeeper,Georgia,21,199,Valencia,4-4-2,es La Liga,0.884,0,3,0,1,1,0,78,74,0,0,79,0,0,0,0,26,56,74,0,0,0,34,0,26,79,78,74,79,80,0.0,0.0
Mohamed Simakan,78,86,29.5,Defender,France,22,187,RB Leipzig,3-4-3,de Bundesliga,2.028,1,2,2,1,1,71,39,62,64,80,79,33,77,62,66,61,61,82,29,79,44,63,47,74,0,0,0,0,0,69.5,70.5
Borna Sosa,78,83,20.0,Full Back,Croatia,24,187,VfB Stuttgart,3-4-2-1,de Bundesliga,1.144,0,2,3,2,0,79,53,77,78,72,70,41,64,79,79,68,70,68,65,65,67,78,31,75,0,0,0,0,0,73.0,78.5
Jiří Pavlenka,78,78,9.5,Goalkeeper,Czech Republic,30,196,Werder Bremen,3-5-2,de Bundesliga,1.092,1,3,0,1,1,0,74,60,0,0,69,0,0,0,0,27,45,68,0,0,0,25,0,39,81,74,60,69,84,0.0,0.0
Alexis Saelemaekers,78,82,20.0,Winger,Belgium,23,180,AC Milan,4-2-3-1,it Serie A,2.964,1,4,3,2,2,81,67,76,81,64,68,68,45,81,81,77,64,59,72,68,74,71,44,74,0,0,0,0,0,75.5,81.0
Óscar Melendo Jiménez,78,82,20.0,Midfielder,Spain,24,167,Granada,4-3-3,es La Liga,0.624,0,2,4,2,1,80,64,79,79,47,58,65,45,78,80,88,66,53,63,63,75,83,50,70,0,0,0,0,0,81.0,80.0
Randal Kolo Muani,78,84,22.5,Forward,France,23,187,Paris Saint-Germain,4-3-3,fr Ligue 1,1.508,1,3,4,1,1,84,72,63,80,38,62,78,77,84,81,51,72,69,63,32,77,62,63,77,0,0,0,0,0,68.5,84.5
Amadou Haidara,78,82,20.0,Midfielder,Mali,24,175,RB Leipzig,3-4-3,de Bundesliga,2.236,1,2,3,2,1,70,72,76,80,68,70,69,50,81,81,76,77,65,77,69,74,77,62,76,0,0,0,0,0,77.5,70.0
Pedro Lomba Neto,78,85,28.5,Winger,Portugal,22,172,Wolverhampton Wanderers,3-4-3,eng Premier League,3.744,0,4,4,2,1,85,74,69,81,31,58,76,49,83,80,86,76,56,74,55,76,73,62,66,0,0,0,0,0,65.5,85.5
Saša Kalajdžić,78,82,20.5,Forward,Austria,24,200,Wolverhampton Wanderers,3-4-3,eng Premier League,3.744,1,3,3,1,1,63,75,68,73,46,70,82,87,74,78,53,74,83,62,44,81,75,57,74,0,0,0,0,0,70.5,63.0
Guglielmo Vicario,78,82,15.5,Goalkeeper,Italy,25,188,Empoli,3-5-2,it Serie A,0.52,1,1,0,1,1,0,78,74,0,0,78,0,0,0,0,33,56,53,0,0,0,64,0,55,79,78,74,78,80,0.0,0.0
Callum Hudson-Odoi,78,84,22.5,Midfielder,England,21,182,Bayer Leverkusen,4-2-3-1,de Bundesliga,3.588,1,3,4,2,1,81,68,74,82,48,59,71,53,84,81,78,67,58,66,51,72,74,55,72,0,0,0,0,0,72.5,81.0
Hamed Junior Traorè,78,87,31.5,Midfielder,Côte d'Ivoire,22,177,Sassuolo,4-2-3-1,it Serie A,1.56,1,3,3,2,0,82,70,72,81,59,62,71,64,84,81,73,74,60,67,59,74,75,64,67,0,0,0,0,0,72.0,82.0
Junior Messias,78,78,11.5,Winger,Brazil,31,179,AC Milan,4-2-3-1,it Serie A,3.38,0,3,3,2,1,84,73,73,81,49,60,75,61,84,81,74,72,58,74,55,73,74,62,65,0,0,0,0,0,74.0,84.5
Nikola Vlašić,78,83,21.0,Midfielder,Croatia,24,178,Torino,3-4-2-1,it Serie A,2.964,1,5,3,2,1,79,76,75,81,47,69,74,65,82,80,88,80,70,81,68,76,77,66,77,0,0,0,0,0,76.0,78.5
Marc Guéhi,78,86,29.5,Defender,England,21,182,Crystal Palace,4-3-3,eng Premier League,1.872,1,4,2,1,1,73,39,58,68,79,75,42,76,65,70,65,49,79,26,73,35,54,38,74,0,0,0,0,0,73.5,72.0
Eljif Elmas,78,85,28.5,Midfielder,North Macedonia,22,184,Napoli,4-3-3,it Serie A,2.288,1,4,4,1,1,76,71,74,83,66,69,70,58,86,85,69,79,64,74,77,72,74,58,74,0,0,0,0,0,79.0,76.0
Predrag Rajković,78,81,14.0,Goalkeeper,Serbia,26,191,Mallorca,4-4-2,es La Liga,1.092,1,2,0,1,1,0,76,74,0,0,79,0,0,0,0,29,56,66,0,0,0,42,0,32,77,76,74,79,81,0.0,0.0
Konstantinos Mavropanos,78,83,19.0,Defender,Greece,24,194,VfB Stuttgart,3-4-2-1,de Bundesliga,1.144,1,3,2,2,2,81,56,51,60,78,81,50,81,60,62,45,77,90,64,80,38,39,42,63,0,0,0,0,0,61.0,80.0
Christoph Baumgartner,78,84,22.5,Midfielder,Austria,22,180,Hoffenheim,3-5-2,de Bundesliga,1.664,1,3,3,1,1,75,72,73,80,44,56,76,65,82,79,79,73,49,64,60,75,78,65,75,0,0,0,0,0,77.0,76.0
Romain Faivre,78,84,22.0,Midfielder,France,23,180,Lyon,4-3-3,fr Ligue 1,2.704,0,3,4,2,1,75,74,76,80,62,67,73,61,81,80,73,74,63,76,59,74,79,80,79,0,0,0,0,0,72.5,75.0
Samuel Gigot,78,79,13.5,Defender,France,28,187,Marseille,4-2-3-1,fr Ligue 1,1.976,1,2,2,2,1,67,38,65,61,79,80,35,82,55,65,57,44,84,33,80,54,55,45,72,0,0,0,0,0,73.5,66.5
Guillermo Maripán,78,80,14.0,Defender,Chile,28,193,Monaco,4-4-2,fr Ligue 1,2.496,1,2,2,2,2,33,42,58,53,79,79,39,80,49,63,32,58,91,35,80,46,56,30,75,0,0,0,0,0,71.5,32.5
Giovanni Simeone,78,79,17.0,Forward,Argentina,26,181,Napoli,4-3-3,it Serie A,1.716,1,4,3,2,2,77,79,64,75,41,76,81,77,74,78,73,83,74,74,78,79,60,75,75,0,0,0,0,0,66.0,77.0
Cristian Portugues Manzanera,78,78,13.5,Midfielder,Spain,30,167,Getafe,5-3-2,es La Liga,1.716,1,4,3,2,1,87,74,72,76,57,77,74,74,75,76,82,80,72,71,80,78,74,65,74,0,0,0,0,0,70.5,86.5
Juan Bernat Velasco,78,78,12.5,Full Back,Spain,29,170,Paris Saint-Germain,4-3-3,fr Ligue 1,3.536,0,3,4,2,1,74,64,76,81,75,58,63,56,81,80,87,70,53,62,75,77,76,53,78,0,0,0,0,0,75.5,74.0
Mário Rui Silva Duarte,78,78,10.0,Full Back,Portugal,31,170,Napoli,4-3-3,it Serie A,2.444,0,3,3,2,1,80,53,73,78,73,65,36,60,76,77,87,69,50,73,73,59,67,60,71,0,0,0,0,0,75.0,80.5
Craig Dawson,78,78,9.0,Defender,England,32,188,West Ham,4-2-3-1,eng Premier League,3.12,1,2,2,1,1,49,47,59,55,79,77,49,84,48,63,50,57,80,30,79,56,51,66,69,0,0,0,0,0,64.0,49.0
Víctor Ruiz Torre,78,78,6.5,Defender,Spain,33,185,Real Betis,4-2-3-1,es La Liga,1.248,0,2,2,1,1,44,42,65,59,79,77,37,79,53,71,51,59,80,38,79,39,60,46,70,0,0,0,0,0,73.5,44.5
Roberto Pereyra,78,78,11.5,Midfielder,Argentina,31,182,Udinese,3-5-2,it Serie A,1.04,1,4,4,2,2,76,74,77,79,68,74,75,60,80,80,76,72,68,73,71,79,79,72,78,0,0,0,0,0,78.0,76.5
Ben Mee,78,78,9.0,Defender,England,32,180,Brentford,4-3-3,eng Premier League,2.392,0,3,2,0,2,61,42,58,62,80,77,36,79,59,63,65,60,79,39,84,40,60,42,74,0,0,0,0,0,60.5,61.0
Aaron Cresswell,78,78,9.5,Full Back,England,32,175,West Ham,4-2-3-1,eng Premier League,3.12,0,3,3,2,1,64,60,75,75,77,68,54,68,76,77,76,71,61,66,73,60,68,59,73,0,0,0,0,0,73.0,64.5
Giacomo Bonaventura,78,78,11.0,Midfielder,Italy,32,181,Fiorentina,4-3-3,it Serie A,2.704,1,3,4,2,1,69,75,80,80,70,65,69,70,80,83,80,84,61,81,68,76,80,68,78,0,0,0,0,0,80.5,68.5
Claudio Bravo,78,78,1.6,Goalkeeper,Chile,39,184,Real Betis,4-2-3-1,es La Liga,0.572,1,3,0,1,1,0,78,84,0,0,78,0,0,0,0,62,63,69,0,0,0,69,0,64,77,78,84,78,78,0.0,0.0
Alassane Plea,78,78,14.0,Forward,France,29,181,Borussia M.Gladbach,4-2-3-1,de Bundesliga,1.82,1,3,4,2,1,72,79,79,78,39,73,79,73,77,78,79,79,74,79,67,81,81,68,79,0,0,0,0,0,78.5,72.0
Jesse Lingard,78,78,14.0,Midfielder,England,29,175,Nott'ham Forest,4-2-3-1,eng Premier League,3.38,1,3,4,2,1,75,77,73,79,57,65,76,63,80,78,84,78,58,79,72,82,78,70,77,0,0,0,0,0,69.5,75.5
Stole Dimitrievski,78,79,11.0,Goalkeeper,North Macedonia,28,188,Rayo Vallecano,4-4-2,es La Liga,0.936,1,2,0,1,1,0,82,75,0,0,78,0,0,0,0,43,56,72,0,0,0,51,0,53,77,82,75,78,79,0.0,0.0
Maxwel Cornet,78,81,18.5,Midfielder,Côte d'Ivoire,25,179,West Ham,4-2-3-1,eng Premier League,3.276,0,4,3,2,1,87,76,71,77,67,77,75,70,79,76,78,81,72,77,72,79,70,64,67,0,0,0,0,0,68.0,86.5
Aleksandar Mitrović,78,78,15.0,Forward,Serbia,27,189,Fulham,4-2-3-1,eng Premier League,3.276,1,4,3,2,1,64,79,57,71,27,87,81,81,67,77,63,82,91,70,89,82,70,74,75,0,0,0,0,0,60.5,64.0
Lucas Alario,78,78,14.0,Forward,Argentina,29,185,Eintracht Frankfurt,3-4-2-1,de Bundesliga,1.82,1,3,3,2,1,66,78,58,74,30,75,83,85,74,74,72,79,78,66,72,83,65,76,76,0,0,0,0,0,58.0,66.0
Alexey Miranchuk,78,79,16.5,Midfielder,Russia,26,182,Torino,3-4-2-1,it Serie A,2.496,0,2,3,2,1,75,70,76,80,31,61,71,57,80,80,78,65,64,73,43,78,79,67,76,0,0,0,0,0,76.5,75.0
Thomas Strakosha,78,81,14.0,Goalkeeper,Albania,27,193,Brentford,4-3-3,eng Premier League,1.924,1,2,0,1,1,0,76,73,0,0,77,0,0,0,0,47,55,66,0,0,0,49,0,61,79,76,73,77,79,0.0,0.0
Pierluigi Gollini,78,81,14.0,Goalkeeper,Italy,27,194,Fiorentina,4-3-3,it Serie A,1.872,1,2,0,1,1,0,79,73,0,0,74,0,0,0,0,52,55,68,0,0,0,32,0,63,78,79,73,74,80,0.0,0.0
Rubén Peña Jiménez,78,78,12.0,Full Back,Spain,30,170,Osasuna,4-4-2,es La Liga,1.456,1,3,4,2,0,78,70,71,77,74,66,69,74,77,78,80,75,64,66,63,77,65,64,72,0,0,0,0,0,71.5,77.5
Marcel Halstenberg,78,78,11.5,Defender,Germany,30,188,RB Leipzig,3-4-3,de Bundesliga,2.392,0,3,3,2,1,63,66,73,71,76,79,59,80,71,74,59,79,79,69,77,63,65,73,74,0,0,0,0,0,69.0,62.0
Fernando Pacheco Flores,78,79,10.5,Goalkeeper,Spain,30,186,Almería,4-4-2,es La Liga,1.092,0,2,0,1,1,0,75,70,0,0,78,0,0,0,0,53,53,75,0,0,0,53,0,62,77,75,70,78,80,0.0,0.0
Nathan Aké,78,80,15.0,Defender,Netherlands,27,180,Manchester City,4-3-3,eng Premier League,4.94,0,3,2,1,2,76,53,70,70,79,75,48,76,67,74,68,63,76,56,72,51,66,53,76,0,0,0,0,0,74.5,76.0
Óliver Torres Muñoz,78,79,16.0,Midfielder,Spain,27,175,Sevilla,4-3-3,es La Liga,1.508,1,4,3,2,1,59,67,78,81,64,50,66,52,82,83,78,69,34,68,61,77,80,65,81,0,0,0,0,0,80.5,59.5
Jonas Hector,78,78,9.5,Full Back,Germany,32,185,FC Koln,4-2-3-1,de Bundesliga,1.456,0,4,3,1,1,63,60,76,75,78,75,55,68,74,77,68,69,74,61,74,63,74,65,81,0,0,0,0,0,77.5,63.0
Joël Veltman,78,78,11.5,Defender,Netherlands,30,184,Brighton,3-4-3,eng Premier League,3.016,1,4,2,1,1,64,49,67,70,79,76,50,74,67,72,66,60,73,41,82,55,55,42,79,0,0,0,0,0,73.5,63.5
Moise Kean,78,86,32.0,Forward,Italy,22,182,Juventus,3-5-2,it Serie A,2.132,1,3,3,2,1,85,76,57,77,40,75,79,76,79,76,79,84,85,66,57,81,58,65,72,0,0,0,0,0,57.0,84.5
Marcos Senesi,78,83,18.5,Defender,Argentina,25,183,Bournemouth,4-2-3-1,eng Premier League,2.288,0,3,3,1,1,60,42,69,74,79,78,32,77,75,76,61,55,80,52,74,32,75,40,75,0,0,0,0,0,76.5,60.5
James Milner,78,78,4.4,Midfielder,England,36,175,Liverpool,4-3-3,eng Premier League,3.588,1,4,3,1,2,52,70,80,76,77,74,62,65,76,80,72,82,70,70,86,71,77,89,81,0,0,0,0,0,80.0,52.5
Serge Aurier,78,78,12.5,Full Back,Côte d'Ivoire,29,174,Nott'ham Forest,4-2-3-1,eng Premier League,3.068,1,3,3,2,1,73,62,74,74,75,75,58,78,73,77,76,76,72,55,86,68,71,64,73,0,0,0,0,0,76.0,73.5
Marco Davide Faraoni,78,78,12.0,Full Back,Italy,30,180,Hellas Verona,3-4-3,it Serie A,1.404,1,4,3,2,2,78,73,74,76,72,76,68,72,75,78,79,79,71,75,77,77,70,66,73,0,0,0,0,0,74.0,78.5
Willian José da Silva,78,78,14.0,Forward,Brazil,30,189,Real Betis,4-2-3-1,es La Liga,1.456,1,4,4,1,0,62,79,66,74,40,80,80,80,76,79,35,83,89,74,75,81,76,76,77,0,0,0,0,0,62.5,61.5
Pablo Maffeo Becerra,78,83,20.0,Full Back,Spain,24,172,Mallorca,4-4-2,es La Liga,1.196,1,3,3,2,1,83,52,68,78,75,68,53,70,80,78,81,57,69,52,64,67,64,37,62,0,0,0,0,0,68.0,83.0
Ollie Watkins,78,81,18.5,Forward,England,26,180,Aston Villa,4-3-3,eng Premier League,4.264,1,4,3,2,2,84,76,68,74,46,77,81,81,75,73,73,75,79,71,52,79,74,67,66,0,0,0,0,0,65.5,83.0
Franco Cervi,78,78,14.0,Midfielder,Argentina,28,165,Celta Vigo,3-4-3,es La Liga,1.404,0,3,4,2,2,88,67,72,80,55,54,70,48,78,80,92,68,32,64,72,76,70,56,73,0,0,0,0,0,71.5,88.5
Enes Ünal,78,82,20.0,Forward,Turkey,25,187,Getafe,5-3-2,es La Liga,1.612,1,3,3,2,1,69,81,65,75,40,76,84,77,76,75,69,82,83,74,70,76,62,80,72,0,0,0,0,0,64.0,69.5
Valentin Rongier,78,79,16.0,Midfielder,France,27,172,Marseille,4-2-3-1,fr Ligue 1,2.08,1,4,3,1,1,71,66,76,78,77,80,61,53,75,80,88,75,79,68,80,70,76,65,79,0,0,0,0,0,80.5,71.0
Alexander Nübel,78,84,17.5,Goalkeeper,Germany,25,193,Monaco,4-4-2,fr Ligue 1,2.028,1,5,0,1,1,0,71,70,0,0,76,0,0,0,0,58,53,70,0,0,0,32,0,32,75,71,70,76,84,0.0,0.0
Sergio Herrera Pirón,78,79,11.0,Goalkeeper,Spain,29,192,Osasuna,4-4-2,es La Liga,1.248,1,3,0,1,1,0,77,73,0,0,75,0,0,0,0,45,55,67,0,0,0,33,0,53,79,77,73,75,77,0.0,0.0
Maxime Lopez,78,81,19.0,Midfielder,France,24,167,Sassuolo,4-2-3-1,it Serie A,1.56,1,3,4,1,1,72,71,79,82,67,57,72,62,79,83,93,70,34,73,77,63,81,68,73,0,0,0,0,0,79.5,72.5
Karl Toko Ekambi,78,78,14.0,Midfielder,Cameroon,29,185,Lyon,4-3-3,fr Ligue 1,3.224,1,4,3,2,0,83,78,72,76,25,68,79,74,77,76,68,81,73,73,48,81,74,74,78,0,0,0,0,0,69.0,83.0
Ramy Bensebaini,78,79,15.0,Full Back,Algeria,27,187,Borussia M.Gladbach,4-2-3-1,de Bundesliga,1.456,0,4,3,2,1,70,64,72,74,76,79,67,81,75,77,64,64,78,55,80,65,63,82,73,0,0,0,0,0,72.5,70.0
Alex Meret,78,81,14.5,Goalkeeper,Italy,25,190,Napoli,4-3-3,it Serie A,1.872,0,3,0,1,1,0,73,70,0,0,77,0,0,0,0,48,53,65,0,0,0,21,0,67,79,73,70,77,81,0.0,0.0
Danilo D'Ambrosio,78,78,6.5,Defender,Italy,33,180,Inter,3-5-2,it Serie A,2.808,1,3,3,0,1,68,56,67,71,79,75,48,83,71,69,72,66,78,58,78,66,58,60,73,0,0,0,0,0,69.0,68.0
Douglas Luiz Soares de Paulo,78,83,19.5,Midfielder,Brazil,24,175,Aston Villa,4-3-3,eng Premier League,3.068,1,2,3,2,1,67,68,77,77,73,70,64,62,75,82,74,80,66,76,74,58,77,44,81,0,0,0,0,0,81.0,67.0
Rafael Santos Borré,78,79,17.0,Forward,Colombia,26,174,Eintracht Frankfurt,3-4-2-1,de Bundesliga,1.716,1,3,3,2,2,77,77,74,79,45,76,77,74,78,78,81,82,67,74,86,82,78,72,81,0,0,0,0,0,73.0,77.5
Saïd Benrahma,78,78,15.5,Midfielder,Algeria,26,172,West Ham,4-2-3-1,eng Premier League,3.432,1,4,4,2,1,75,73,75,81,40,56,72,47,82,81,80,75,50,74,52,76,78,69,74,0,0,0,0,0,72.5,75.5
Gianluca Caprari,78,78,14.5,Forward,Italy,28,176,Monza,3-4-2-1,it Serie A,1.768,1,4,3,2,0,85,73,76,83,33,55,74,50,83,81,89,75,54,73,39,74,77,61,71,0,0,0,0,0,75.5,85.0
Willy Boly,78,78,9.5,Defender,Côte d'Ivoire,31,195,Nott'ham Forest,4-2-3-1,eng Premier League,2.964,1,4,2,1,1,58,36,64,63,77,79,32,79,61,69,47,52,91,23,75,45,61,56,79,0,0,0,0,0,74.5,57.5
Thomas Meunier,78,78,12.0,Full Back,Belgium,30,191,Borussia Dortmund,4-2-3-1,de Bundesliga,2.132,1,4,3,2,1,73,74,74,72,74,81,70,80,75,73,47,80,84,77,75,75,73,65,74,0,0,0,0,0,72.5,72.5
Aïssa Mandi,78,78,11.5,Defender,Algeria,30,184,Villarreal,4-4-2,es La Liga,1.612,1,3,2,2,1,62,46,72,69,79,73,41,81,64,76,64,52,77,49,76,65,71,35,76,0,0,0,0,0,75.5,62.5
Sebastian Rode,78,78,10.0,Midfielder,Germany,31,180,Eintracht Frankfurt,3-4-2-1,de Bundesliga,1.456,1,3,3,2,2,59,65,72,74,77,74,61,64,72,78,74,73,72,68,84,72,72,51,80,0,0,0,0,0,77.0,59.5
Oriol Romeu Vidal,78,78,12.0,Midfielder,Spain,30,183,Girona,3-5-2,es La Liga,1.352,1,3,2,0,2,41,44,62,65,80,79,25,69,63,70,56,76,79,48,89,48,55,54,72,0,0,0,0,0,75.0,41.5
Lucas Pérez Martínez,78,78,9.0,Forward,Spain,33,180,Cadiz,4-4-2,es La Liga,1.82,0,4,4,1,0,78,80,76,77,30,66,79,68,78,78,68,81,67,80,67,81,79,82,76,0,0,0,0,0,73.5,77.5
Moussa Niakhaté,78,80,15.5,Defender,France,26,190,Nott'ham Forest,4-2-3-1,eng Premier League,2.964,0,3,2,1,2,79,42,65,67,79,78,37,81,69,65,52,49,83,38,79,49,58,74,73,0,0,0,0,0,71.5,78.0
Federico Dimarco,78,83,20.0,Full Back,Italy,24,175,Inter,3-5-2,it Serie A,2.444,0,2,3,1,1,76,65,76,75,74,69,59,69,75,77,84,65,65,72,68,72,67,66,69,0,0,0,0,0,76.5,76.5
Andrei Girotto,78,78,11.5,Defender,Brazil,30,186,Nantes,4-2-3-1,fr Ligue 1,1.352,1,3,2,1,2,58,67,68,69,79,73,59,79,66,77,54,81,71,80,82,59,54,55,66,0,0,0,0,0,73.0,58.5
Daniel Castelo Podence,78,79,16.5,Winger,Portugal,26,165,Wolverhampton Wanderers,3-4-3,eng Premier League,4.264,1,4,4,2,1,83,64,73,85,33,50,66,42,86,83,93,66,30,56,67,76,79,63,78,0,0,0,0,0,73.5,84.0
Miguel Almirón,78,78,14.0,Midfielder,Paraguay,28,174,Newcastle United,4-3-3,eng Premier League,4.368,0,2,4,2,2,86,71,73,79,53,61,71,43,81,77,68,78,53,65,69,74,74,69,73,0,0,0,0,0,72.0,86.5
Philipp Lienhart,78,80,15.5,Defender,Austria,25,189,Freiburg,3-4-3,de Bundesliga,1.404,1,3,2,1,1,70,28,56,62,80,74,24,82,59,62,62,29,78,34,76,35,53,41,75,0,0,0,0,0,66.5,69.0
Brahim Díaz,78,86,31.5,Midfielder,Spain,22,171,AC Milan,4-2-3-1,it Serie A,5.72,1,5,4,2,1,78,69,76,82,30,50,69,30,82,83,91,70,44,71,41,73,78,58,72,0,0,0,0,0,78.5,78.0
Exequiel Palacios,78,83,19.5,Midfielder,Argentina,23,178,Bayer Leverkusen,4-2-3-1,de Bundesliga,2.028,1,4,3,2,2,66,73,75,78,74,72,70,59,78,79,79,81,65,76,80,67,75,63,78,0,0,0,0,0,81.0,67.0
Caio Henrique Oliveira Silva,78,82,18.5,Full Back,Brazil,24,179,Monaco,4-4-2,fr Ligue 1,2.028,0,2,3,2,1,75,57,77,78,73,62,54,62,78,81,74,60,51,60,69,75,77,48,80,0,0,0,0,0,74.0,75.5
Wataru Endo,78,78,13.5,Midfielder,Japan,29,178,VfB Stuttgart,3-4-2-1,de Bundesliga,1.508,1,4,3,1,2,67,64,70,78,78,75,62,78,77,81,78,71,66,69,75,64,74,62,82,0,0,0,0,0,79.0,67.5
Junya Ito,78,78,14.0,Winger,Japan,29,177,Reims,4-2-3-1,fr Ligue 1,1.56,1,4,4,2,1,89,71,73,78,58,70,73,44,78,77,77,68,61,71,64,76,78,57,77,0,0,0,0,0,70.0,89.5
Nahuel Molina,78,84,21.0,Full Back,Argentina,24,175,Atletico Madrid,5-3-2,es La Liga,2.028,1,3,2,2,2,82,67,71,76,71,69,67,60,76,77,75,70,62,67,74,73,70,44,70,0,0,0,0,0,70.0,82.5
Igor Zubeldia Elorza,78,82,17.5,Defender,Spain,25,181,Real Sociedad,4-3-3,es La Liga,1.508,1,3,2,1,1,65,63,75,70,78,79,62,72,67,73,74,75,76,60,86,63,72,51,73,0,0,0,0,0,79.5,64.0
Álvaro Odriozola Arzalluz,78,80,16.0,Full Back,Spain,26,176,Real Madrid,4-3-3,es La Liga,5.98,1,3,3,2,2,82,55,71,75,74,65,48,73,76,76,78,61,58,59,62,69,63,62,67,0,0,0,0,0,72.5,82.0
José Diogo Dalot Teixeira,78,84,21.0,Full Back,Portugal,23,184,Manchester United,4-2-3-1,eng Premier League,4.056,1,4,3,2,1,79,60,73,78,73,77,52,70,81,77,71,78,75,64,80,75,70,43,75,0,0,0,0,0,73.0,79.0
Jonathan Ikoné,78,82,20.0,Winger,France,24,175,Fiorentina,4-3-3,it Serie A,2.6,0,3,4,2,1,89,69,73,83,35,60,68,39,85,79,82,75,55,68,65,74,78,70,78,0,0,0,0,0,68.5,89.5
Pablo Rosario,78,82,18.0,Midfielder,Netherlands,25,188,Nice,4-4-2,fr Ligue 1,1.976,1,3,3,1,1,64,64,71,75,76,79,59,69,75,78,65,76,81,65,73,64,75,58,76,0,0,0,0,0,77.0,64.0
Clément Lenglet,78,81,16.0,Defender,France,27,186,Tottenham,3-4-2-1,eng Premier League,5.46,0,4,2,1,1,68,45,69,64,77,76,39,77,57,72,58,58,79,46,75,54,66,49,79,0,0,0,0,0,79.0,68.0
Gerson Santos da Silva,78,82,19.5,Midfielder,Brazil,25,184,Marseille,4-2-3-1,fr Ligue 1,1.976,0,3,3,1,1,69,69,78,78,76,79,69,58,76,79,79,74,78,65,81,76,76,68,83,0,0,0,0,0,79.5,69.0
Frédéric Guilbert,78,79,15.0,Full Back,France,27,178,Aston Villa,4-3-3,eng Premier League,3.588,1,3,3,2,1,74,49,69,72,75,78,40,72,72,74,74,68,77,49,78,67,63,44,74,0,0,0,0,0,71.0,74.5
Alfonso Pedraza Sag,78,80,16.0,Full Back,Spain,26,184,Villarreal,4-4-2,es La Liga,1.612,0,2,3,2,1,81,72,72,76,74,75,72,67,77,76,68,78,75,69,69,75,69,64,66,0,0,0,0,0,71.0,80.5
Stefano Sensi,78,79,16.5,Midfielder,Italy,26,168,Monza,3-4-2-1,it Serie A,3.068,1,4,4,1,1,75,61,83,84,65,57,53,45,82,88,91,69,50,73,71,62,85,73,77,0,0,0,0,0,84.5,75.0
Joseph Aidoo,78,81,16.5,Defender,Ghana,26,184,Celta Vigo,3-4-3,es La Liga,1.248,1,2,2,1,2,75,27,48,50,76,88,18,79,35,60,68,50,91,23,88,25,23,31,63,0,0,0,0,0,62.5,74.0
Lukas Nmecha,78,83,21.5,Forward,Germany,23,185,Wolfsburg,4-2-3-1,de Bundesliga,2.288,1,4,3,1,0,82,77,66,77,40,77,79,74,77,80,65,80,79,71,71,77,68,81,71,0,0,0,0,0,67.5,82.0
Dante Bonfim Costa Santos,78,78,2.5,Defender,Brazil,38,189,Nice,4-4-2,fr Ligue 1,1.456,0,4,3,0,2,32,52,68,66,79,78,47,78,61,77,59,62,85,53,76,41,64,60,79,0,0,0,0,0,77.0,32.0
Tyrone Mings,78,78,12.0,Defender,England,29,196,Aston Villa,4-3-3,eng Premier League,3.744,0,2,3,2,1,71,44,67,66,78,80,37,77,68,67,46,61,84,42,86,53,57,45,71,0,0,0,0,0,75.0,70.5
Kouadio Manu Koné,77,86,23.5,Midfielder,France,21,185,Borussia M.Gladbach,4-2-3-1,de Bundesliga,1.092,1,3,4,2,2,71,69,74,81,69,70,71,68,84,82,76,74,68,68,71,69,78,54,76,0,0,0,0,0,77.5,71.0
Adrien Tameze,77,77,10.5,Midfielder,France,28,180,Hellas Verona,3-4-3,it Serie A,1.508,1,3,3,1,2,72,65,73,79,78,75,63,73,80,80,76,73,72,67,77,72,71,60,75,0,0,0,0,0,80.0,72.0
Flavien Tait,77,77,10.5,Midfielder,France,29,176,Rennes,4-2-3-1,fr Ligue 1,2.392,1,3,3,2,1,70,71,76,79,67,67,70,52,80,79,78,72,60,75,70,74,77,61,77,0,0,0,0,0,76.5,70.5
Johan Mojica,77,77,9.5,Full Back,Colombia,29,185,Villarreal,4-4-2,es La Liga,1.56,0,2,3,2,0,88,65,73,72,72,70,62,56,72,75,58,80,70,61,73,69,65,60,70,0,0,0,0,0,73.5,88.0
Karim Rekik,77,80,12.0,Defender,Netherlands,27,186,Sevilla,4-3-3,es La Liga,1.3,0,2,2,0,2,64,39,60,63,76,75,33,78,57,69,61,60,78,31,83,41,59,41,71,0,0,0,0,0,71.5,63.5
Christoph Kramer,77,77,7.5,Midfielder,Germany,31,191,Borussia M.Gladbach,4-2-3-1,de Bundesliga,1.352,1,3,3,2,2,42,50,70,71,76,73,48,61,72,77,54,54,72,43,72,70,70,47,76,0,0,0,0,0,75.5,43.0
