,player,nation,position,team,formation,team_shots_per_game,team_possession,team_pass,team_aerials_won,league,age,matches,starts,minutes,goals,assists,goals_assists,penalty_goals,yellow_cards,red_cards,expected_goals,expected_assists,progressive_carries,progressive_passes,progressive_runs,goals_90min,assists_90min,goals_assists_90min
580,Joaquín Correa,ar ARG,Forward,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,28,12,6,430,0,0,0,0,2,0,0.6,0.7,9.0,25.0,57.0,0.0,0.0,0.0
581,Thierry Correia,pt POR,Defender,Valencia,4-4-2,10.3,47.9,79.4,16.3,es La Liga,24,31,25,2154,0,2,2,0,4,1,0.6,2.1,40.0,80.0,56.0,0.0,0.08,0.08
582,Oscar Cortés,co COL,Forward,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,19,4,0,44,1,1,2,0,0,0,0.5,0.7,1.0,2.0,8.0,2.05,2.05,4.09
583,Danny da Costa,de GER,Defender,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,30,19,9,830,0,1,1,0,1,0,0.3,1.2,22.0,40.0,53.0,0.0,0.11,0.11
584,David Pereira da Costa,pt POR,Midfielder,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,22,25,17,1494,4,2,6,0,3,0,3.0,3.5,53.0,73.0,101.0,0.24,0.12,0.36
585,Jaume Costa,es ESP,Defender,Mallorca,4-4-2,8.0,45.7,80.2,18.0,es La Liga,35,30,19,1682,0,1,1,0,7,0,0.3,1.2,34.0,50.0,104.0,0.0,0.05,0.05
586,João Costa,br BRA,Midfielder,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,18,3,0,14,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
587,Logan Costa,cv CPV,Defender,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,22,31,29,2650,1,1,2,0,6,0,1.4,0.6,19.0,145.0,14.0,0.03,0.03,0.07
588,Samu Costa,pt POR,Midfielder,Mallorca,4-4-2,8.0,45.7,80.2,18.0,es La Liga,22,34,26,2303,1,1,2,0,8,0,1.1,0.5,16.0,93.0,32.0,0.04,0.04,0.08
589,Benoît Costil,fr FRA,Goalkeeper,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,36,13,13,1170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,Grégoire Coudert,fr FRA,Goalkeeper,Brest,4-4-2,11.8,49.4,81.3,18.6,fr Ligue 1,24,3,2,181,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,Vladimír Coufal,cz CZE,Defender,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,30,36,36,3132,0,7,7,0,7,1,0.3,4.0,68.0,119.0,126.0,0.0,0.2,0.2
592,Lassana Coulibaly,ml MLI,Midfielder,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,27,28,25,2082,0,1,1,0,5,0,0.6,0.8,29.0,88.0,38.0,0.0,0.04,0.04
594,Mamadou Coulibaly,fr FRA,Midfielder,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,19,5,1,118,0,0,0,0,0,0,0.2,0.1,2.0,5.0,7.0,0.0,0.0,0.0
595,Tanguy Coulibaly,fr FRA,Forward,Montpellier,4-3-3,12.2,46.4,78.8,17.9,fr Ligue 1,22,16,7,623,1,0,1,0,2,0,2.6,0.8,27.0,13.0,48.0,0.14,0.0,0.14
596,Thibaut Courtois,be BEL,Goalkeeper,Real Madrid,4-3-3,14.4,57.7,87.7,11.8,es La Liga,31,4,4,332,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
597,Philippe Coutinho,br BRA,Midfielder,Aston Villa,4-3-3,13.7,49.1,78.6,19.4,eng Premier League,31,2,0,25,0,0,0,0,0,0,0.1,0.0,5.0,5.0,2.0,0.0,0.0,0.0
598,Yan Couto,br BRA,Defender,Girona,3-5-2,6.8,58.9,88.7,8.6,es La Liga,21,34,24,2245,1,8,9,0,8,0,1.5,4.2,151.0,97.0,240.0,0.04,0.32,0.36
600,Nicolas Cozza,fr FRA,Defender,Wolfsburg,4-2-3-1,14.1,51.0,78.0,16.9,de Bundesliga,24,6,3,276,0,0,0,0,1,0,0.0,0.1,5.0,16.0,8.0,0.0,0.0,0.0
601,Alessio Cragno,it ITA,Goalkeeper,Sassuolo,4-2-3-1,13.9,58.2,87.8,10.9,it Serie A,29,3,3,270,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,Crespo,pt POR,Midfielder,Rayo Vallecano,4-4-2,9.0,48.1,77.9,12.3,es La Liga,26,15,4,527,0,0,0,0,4,0,0.1,1.0,13.0,30.0,20.0,0.0,0.0,0.0
603,Aaron Cresswell,eng ENG,Defender,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,33,11,4,436,0,0,0,0,1,0,0.0,0.4,4.0,26.0,6.0,0.0,0.0,0.0
604,Bryan Cristante,it ITA,Midfielder,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,28,37,37,3289,3,4,7,0,8,0,4.0,2.9,47.0,234.0,80.0,0.08,0.11,0.19
605,Cristian,es ESP,Goalkeeper,Valencia,4-4-2,10.3,47.9,79.4,16.3,es La Liga,25,1,0,57,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,Juan Cruz Armada,es ESP,Defender,Osasuna,4-4-2,9.8,44.6,70.2,26.8,es La Liga,31,26,18,1667,0,1,1,0,3,0,0.0,0.4,16.0,77.0,29.0,0.0,0.05,0.05
608,Juan Cruz,es ESP,Forward,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,23,5,0,76,0,0,0,0,0,0,0.1,0.0,2.0,3.0,10.0,0.0,0.0,0.0
609,Juan Cuadrado,co COL,Defender,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,35,10,0,267,0,2,2,0,1,0,0.2,1.6,17.0,11.0,35.0,0.0,0.67,0.67
610,Pau Cubarsí,es ESP,Defender,Barcelona,4-3-3,15.3,62.4,89.7,10.6,es La Liga,16,19,18,1558,0,0,0,0,4,0,0.1,0.4,8.0,75.0,2.0,0.0,0.0,0.0
611,Marc Cucurella,es ESP,Defender,Chelsea,3-4-3,14.6,58.6,87.0,15.2,eng Premier League,25,21,20,1782,0,2,2,0,10,0,1.1,1.1,31.0,50.0,73.0,0.0,0.1,0.1
612,Iván Cuéllar,es ESP,Goalkeeper,Mallorca,4-4-2,8.0,45.7,80.2,18.0,es La Liga,39,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,Jorge Cuenca,es ESP,Defender,Villarreal,4-4-2,10.7,54.3,84.4,13.0,es La Liga,23,29,21,1963,3,1,4,0,7,0,1.2,0.2,11.0,78.0,30.0,0.14,0.05,0.18
614,Josh Cullen,ie IRL,Midfielder,Burnley,4-4-2,10.1,43.5,71.6,23.4,eng Premier League,27,25,23,2057,2,3,5,0,9,0,0.6,1.8,22.0,123.0,22.0,0.09,0.13,0.22
615,Matheus Cunha,br BRA,Forward,Wolverhampton Wanderers,3-4-3,12.2,49.7,83.2,15.3,eng Premier League,24,32,29,2440,12,7,19,1,9,0,9.5,3.2,107.0,87.0,139.0,0.44,0.26,0.7
616,Marvin Cuni,al ALB,Forward,Frosinone,3-5-2,11.1,40.0,75.7,14.1,it Serie A,22,22,6,534,1,0,1,0,0,0,1.3,0.3,6.0,11.0,45.0,0.17,0.0,0.17
617,Eric Curbelo,es ESP,Defender,Las Palmas,4-4-2,7.0,52.1,82.2,13.5,es La Liga,29,2,1,102,0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
618,Sam Curtis,ie IRL,Defender,Sheffield United,4-2-3-1,8.5,43.0,76.9,19.1,eng Premier League,17,1,0,28,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
619,Tomáš Čvančara,cz CZE,Forward,Borussia M.Gladbach,4-2-3-1,13.4,51.5,82.0,15.3,de Bundesliga,22,21,7,896,4,1,5,1,4,0,5.9,0.7,12.0,13.0,47.0,0.4,0.1,0.5
620,Danilo D'Ambrosio,it ITA,Defender,Monza,3-4-2-1,10.1,47.4,82.4,18.1,it Serie A,34,24,16,1536,0,0,0,0,5,1,0.7,0.2,12.0,61.0,25.0,0.0,0.0,0.0
621,Alberto Dadie,es ESP,Midfielder,Real Sociedad,4-3-3,11.3,53.7,80.8,17.9,es La Liga,21,1,0,28,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,Trévis Dago,ci CIV,Forward,Lille,4-4-2,12.8,52.6,83.5,15.8,fr Ligue 1,18,4,0,23,0,1,1,0,1,0,0.0,0.4,1.0,0.0,1.0,0.0,3.91,3.91
623,Finn Dahmen,de GER,Goalkeeper,Augsburg,4-4-2,9.9,44.0,73.6,16.8,de Bundesliga,25,31,31,2790,0,0,0,0,4,0,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0
625,Mahmoud Dahoud,de GER,Midfielder,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,27,13,1,227,1,0,1,0,0,0,0.6,0.5,1.0,19.0,5.0,0.4,0.0,0.4
626,Ameen Al-Dakhil,be BEL,Defender,Burnley,4-4-2,10.1,43.5,71.6,23.4,eng Premier League,21,13,12,1056,1,0,1,0,1,0,1.3,0.1,7.0,35.0,9.0,0.09,0.0,0.09
627,Thijs Dallinga,nl NED,Forward,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,22,33,28,2510,14,2,16,1,6,0,14.1,1.2,32.0,38.0,164.0,0.5,0.07,0.57
628,Diogo Dalot,pt POR,Defender,Manchester United,4-2-3-1,13.8,54.5,84.8,14.5,eng Premier League,24,36,35,3174,2,3,5,0,6,1,1.7,2.9,52.0,124.0,111.0,0.06,0.09,0.14
629,Mikkel Damsgaard,dk DEN,Midfielder,Brentford,4-3-3,7.1,47.3,81.3,16.6,eng Premier League,23,23,7,842,0,2,2,0,2,0,0.9,1.4,16.0,61.0,32.0,0.0,0.21,0.21
630,Flavius Daniliuc,at AUT,Defender,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,22,14,8,744,0,0,0,0,2,0,0.2,0.2,8.0,37.0,2.0,0.0,0.0,0.0
632,Danilo,br BRA,Defender,Juventus,3-5-2,15.7,55.4,88.3,11.4,it Serie A,32,29,27,2452,1,1,2,0,7,0,1.3,0.9,18.0,161.0,21.0,0.04,0.04,0.07
633,Arnaut Danjuma,nl NED,Midfielder,Everton,4-4-2,10.5,47.3,81.4,17.7,eng Premier League,26,14,5,595,1,0,1,0,0,0,2.6,1.1,24.0,9.0,44.0,0.15,0.0,0.15
634,Jayden Danns,eng ENG,Forward,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,17,2,0,9,0,0,0,0,1,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
635,Kevin Danso,at AUT,Defender,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,24,30,30,2655,1,0,1,0,6,0,1.8,0.4,27.0,133.0,3.0,0.03,0.0,0.03
636,Dante,br BRA,Defender,Nice,4-4-2,10.8,53.4,85.6,10.5,fr Ligue 1,39,32,32,2843,1,1,2,0,5,1,0.9,1.0,13.0,185.0,6.0,0.03,0.03,0.06
637,Raimane Daou,km COM,Defender,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,18,1,0,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
638,Mohammed Daramy,dk DEN,Forward,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,21,25,19,1648,4,5,9,1,0,0,4.6,2.4,72.0,69.0,162.0,0.22,0.27,0.49
639,Sergi Darder,es ESP,Midfielder,Mallorca,4-4-2,8.0,45.7,80.2,18.0,es La Liga,29,36,21,2157,2,5,7,0,4,0,2.2,6.4,56.0,132.0,75.0,0.08,0.21,0.29
640,Achraf Dari,ma MAR,Defender,Brest,4-4-2,11.8,49.4,81.3,18.6,fr Ligue 1,24,4,1,121,0,0,0,0,0,0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
641,Matteo Darmian,it ITA,Defender,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,33,33,27,2404,2,1,3,0,2,0,1.2,1.8,18.0,72.0,82.0,0.07,0.04,0.11
642,Lukas Daschner,de GER,Midfielder,Bochum,4-4-2,7.0,41.8,73.4,20.4,de Bundesliga,24,20,3,536,1,1,2,0,2,0,2.3,1.0,11.0,17.0,37.0,0.17,0.17,0.34
643,Josh Dasilva,eng ENG,Defender,Brentford,4-3-3,7.1,47.3,81.3,16.6,eng Premier League,24,3,0,24,0,0,0,0,0,0,0.0,0.2,2.0,2.0,5.0,0.0,0.0,0.0
645,David Datro Fofana,ci CIV,Forward,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,20,12,8,682,1,0,1,0,0,0,2.8,0.3,20.0,14.0,66.0,0.13,0.0,0.13
646,Juan David Cabal,co COL,Defender,Hellas Verona,3-4-3,10.6,49.6,76.3,20.6,it Serie A,22,22,17,1497,0,0,0,0,6,0,0.5,0.4,26.0,70.0,48.0,0.0,0.0,0.0
647,Jonathan David,ca CAN,Forward,Lille,4-4-2,12.8,52.6,83.5,15.8,fr Ligue 1,23,34,30,2629,19,4,23,2,4,0,17.5,3.3,47.0,79.0,198.0,0.65,0.14,0.79
648,Alphonso Davies,ca CAN,Defender,Bayern Munich,4-2-3-1,17.1,58.1,85.5,12.9,de Bundesliga,22,29,24,2065,2,5,7,0,0,0,1.0,2.9,121.0,117.0,139.0,0.09,0.22,0.31
649,Ben Davies,wls WAL,Defender,Tottenham,3-4-2-1,11.7,51.3,81.8,16.4,eng Premier League,30,17,12,1090,1,0,1,0,2,0,2.3,0.4,13.0,71.0,20.0,0.08,0.0,0.08
650,Tom Davies,eng ENG,Midfielder,Sheffield United,4-2-3-1,8.5,43.0,76.9,19.1,eng Premier League,25,9,2,221,0,0,0,0,2,0,0.4,0.1,3.0,8.0,3.0,0.0,0.0,0.0
651,Keinan Davis,eng ENG,Forward,Udinese,3-5-2,10.9,47.2,82.5,13.1,it Serie A,25,8,0,186,1,0,1,0,2,0,0.5,0.1,2.0,6.0,15.0,0.48,0.0,0.48
652,Paweł Dawidowicz,pl POL,Defender,Hellas Verona,3-4-3,10.6,49.6,76.3,20.6,it Serie A,28,28,25,2143,0,0,0,0,5,0,0.5,0.0,11.0,89.0,5.0,0.0,0.0,0.0
653,Craig Dawson,eng ENG,Defender,Wolverhampton Wanderers,3-4-3,12.2,49.7,83.2,15.3,eng Premier League,33,25,25,2209,1,1,2,0,7,0,1.5,1.4,1.0,49.0,4.0,0.04,0.04,0.08
654,Kevin De Bruyne,be BEL,Midfielder,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,32,18,15,1221,4,10,14,0,2,0,2.4,11.5,47.0,111.0,133.0,0.29,0.74,1.03
655,Charles De Ketelaere,be BEL,Forward,Atalanta,3-4-2-1,16.3,53.5,83.5,16.8,it Serie A,22,35,25,2026,10,8,18,1,1,0,7.1,6.1,88.0,126.0,219.0,0.44,0.36,0.8
656,Rodrigo De Paul,ar ARG,Midfielder,Atletico Madrid,5-3-2,12.1,51.8,83.1,14.4,es La Liga,29,34,25,2075,3,5,8,0,7,0,1.8,5.0,73.0,202.0,55.0,0.13,0.22,0.35
657,Mattia De Sciglio,it ITA,Defender,Juventus,3-5-2,15.7,55.4,88.3,11.4,it Serie A,30,1,1,45,0,0,0,0,0,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
658,Lorenzo De Silvestri,it ITA,Defender,Bologna,4-2-3-1,13.1,50.7,81.5,15.1,it Serie A,35,15,7,674,2,0,2,0,0,0,0.2,0.0,14.0,27.0,12.0,0.27,0.0,0.27
659,Thibault De Smet,be BEL,Defender,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,25,27,22,1831,0,0,0,0,7,1,0.3,0.8,23.0,104.0,66.0,0.0,0.0,0.0
660,Koni De Winter,be BEL,Defender,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,21,29,26,2380,0,1,1,0,8,1,0.8,1.0,21.0,76.0,15.0,0.0,0.04,0.04
661,Grégoire Defrel,mq MTQ,Forward,Sassuolo,4-2-3-1,13.9,58.2,87.8,10.9,it Serie A,32,20,7,757,1,2,3,0,0,0,1.0,1.2,7.0,17.0,42.0,0.12,0.24,0.36
662,Alessandro Deiola,it ITA,Midfielder,Cagliari,3-5-2,11.4,45.8,79.8,17.2,it Serie A,27,27,19,1608,1,0,1,0,7,0,2.5,0.9,9.0,64.0,21.0,0.06,0.0,0.06
663,Romain Del Castillo,fr FRA,Forward,Brest,4-4-2,11.8,49.4,81.3,18.6,fr Ligue 1,27,33,30,2497,8,8,16,3,4,0,5.2,9.9,101.0,155.0,287.0,0.29,0.29,0.58
664,Thomas Delaine,fr FRA,Defender,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,31,27,24,2044,1,1,2,0,5,0,1.7,3.6,63.0,52.0,151.0,0.04,0.04,0.09
665,Sacha Delaye,fr FRA,Midfielder,Montpellier,4-3-3,12.2,46.4,78.8,17.9,fr Ligue 1,21,9,0,130,0,0,0,0,1,0,0.3,0.1,2.0,4.0,8.0,0.0,0.0,0.0
666,Hannes Delcroix,be BEL,Defender,Burnley,4-4-2,10.1,43.5,71.6,23.4,eng Premier League,24,12,5,589,0,0,0,0,2,0,0.4,0.2,2.0,18.0,6.0,0.0,0.0,0.0
667,Alessandro Dellavalle,it ITA,Defender,Torino,3-4-2-1,12.2,48.0,80.5,16.1,it Serie A,19,1,0,15,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
668,Olivier Deman,be BEL,Defender,Werder Bremen,3-5-2,10.6,45.2,76.2,18.3,de Bundesliga,23,29,14,1365,2,1,3,0,5,0,1.1,0.9,26.0,40.0,53.0,0.13,0.07,0.2
669,Karamoko Dembélé,eng ENG,Midfielder,Brest,4-4-2,11.8,49.4,81.3,18.6,fr Ligue 1,20,1,0,16,0,0,0,0,0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
670,Ousmane Dembélé,fr FRA,Midfielder,Paris Saint-Germain,4-3-3,15.0,60.1,89.5,9.5,fr Ligue 1,26,26,17,1506,3,8,11,0,0,0,4.4,6.7,160.0,133.0,247.0,0.18,0.48,0.66
671,Jessy Deminguet,fr FRA,Midfielder,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,25,18,9,690,0,0,0,0,1,0,0.3,0.4,7.0,24.0,13.0,0.0,0.0,0.0
672,Ermedin Demirović,ba BIH,Forward,Augsburg,4-4-2,9.9,44.0,73.6,16.8,de Bundesliga,25,33,33,2873,15,9,24,3,7,0,13.5,3.9,28.0,60.0,167.0,0.47,0.28,0.75
673,Diego Demme,de GER,Midfielder,Napoli,4-3-3,17.0,54.1,87.0,11.1,it Serie A,31,2,1,73,0,0,0,0,1,0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0
674,Sepp van den Berg,nl NED,Defender,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,21,33,31,2839,3,0,3,0,9,0,2.7,0.3,7.0,95.0,6.0,0.1,0.0,0.1
676,Leander Dendoncker,be BEL,Midfielder,Napoli,4-3-3,17.0,54.1,87.0,11.1,it Serie A,28,3,0,24,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
677,Rémy Descamps,fr FRA,Goalkeeper,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,27,6,6,540,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,Mikkel Desler,dk DEN,Defender,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,28,24,19,1544,0,1,1,0,2,0,1.1,0.7,30.0,81.0,96.0,0.0,0.06,0.06
679,Arthur Desmas,fr FRA,Goalkeeper,Le Havre,3-5-2,7.1,41.7,81.0,12.8,fr Ligue 1,29,33,33,2970,0,0,0,0,2,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
680,Mattia Destro,it ITA,Forward,Empoli,3-5-2,9.1,47.1,75.7,14.1,it Serie A,32,15,3,366,0,0,0,0,2,0,1.2,0.3,4.0,4.0,19.0,0.0,0.0,0.0
681,Samuele Di Benedetto,de GER,Midfielder,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,18,1,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
682,Federico Di Francesco,it ITA,Forward,Lecce,4-3-3,9.7,43.7,79.9,16.8,it Serie A,29,2,0,15,1,0,1,0,0,0,0.1,0.0,1.0,1.0,3.0,6.0,0.0,6.0
683,Raffaele Di Gennaro,it ITA,Goalkeeper,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,29,1,0,23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Michele Di Gregorio,it ITA,Goalkeeper,Monza,3-4-2-1,10.1,47.4,82.4,18.1,it Serie A,26,33,33,2872,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
685,Giovanni Di Lorenzo,it ITA,Defender,Napoli,4-3-3,17.0,54.1,87.0,11.1,it Serie A,29,36,36,3234,1,6,7,0,6,0,3.1,4.9,95.0,304.0,250.0,0.03,0.17,0.19
686,Alessandro Di Pardo,it ITA,Defender,Cagliari,3-5-2,11.4,45.8,79.8,17.2,it Serie A,24,15,2,359,0,0,0,0,0,0,0.1,0.2,6.0,11.0,19.0,0.0,0.0,0.0
687,Boulaye Dia,sn SEN,Forward,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,26,17,12,1143,4,0,4,1,1,0,3.9,0.5,18.0,22.0,57.0,0.31,0.0,0.31
688,Moussa Diaby,fr FRA,Forward,Aston Villa,4-3-3,13.7,49.1,78.6,19.4,eng Premier League,24,38,25,2174,6,8,14,0,1,0,7.0,6.6,94.0,72.0,183.0,0.25,0.33,0.58
689,Lamine Diack,sn SEN,Midfielder,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,22,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,Mouctar Diakhaby,gn GUI,Defender,Valencia,4-4-2,10.3,47.9,79.4,16.3,es La Liga,26,14,12,1073,1,0,1,0,6,0,0.7,0.0,7.0,29.0,1.0,0.08,0.0,0.08
691,Mamadou Diakhon,fr FRA,Forward,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,17,11,1,209,0,0,0,0,0,0,0.0,0.2,11.0,1.0,16.0,0.0,0.0,0.0
692,Bafodé Diakité,fr FRA,Defender,Lille,4-4-2,12.8,52.6,83.5,15.8,fr Ligue 1,22,21,19,1696,5,2,7,0,4,0,2.0,1.4,15.0,95.0,16.0,0.27,0.11,0.37
693,Ibrahim Diakité,gn GUI,Defender,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,19,5,1,109,0,0,0,0,0,0,0.0,0.2,7.0,7.0,9.0,0.0,0.0,0.0
694,Moussa Diakité,ml MLI,Midfielder,Cadiz,4-4-2,8.0,38.5,68.8,18.5,es La Liga,19,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Oumar Diakité,ci CIV,Forward,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,19,28,18,1585,5,1,6,0,4,0,7.0,1.3,29.0,28.0,107.0,0.28,0.06,0.34
696,Amad Diallo,ci CIV,Forward,Manchester United,4-2-3-1,13.8,54.5,84.8,14.5,eng Premier League,21,9,3,390,1,1,2,0,1,0,0.5,1.1,11.0,10.0,31.0,0.23,0.23,0.46
697,Amadou Diallo,eng ENG,Midfielder,Newcastle United,4-3-3,10.4,41.6,76.0,17.1,eng Premier League,20,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Assane Diao,es ESP,Forward,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,17,18,13,1048,2,0,2,0,4,0,2.5,0.7,33.0,20.0,101.0,0.17,0.0,0.17
699,Habib Diarra,sn SEN,Midfielder,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,19,31,28,2305,3,1,4,1,3,0,3.4,1.3,59.0,107.0,88.0,0.12,0.04,0.16
700,Moussa Diarra,ml MLI,Defender,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,22,22,15,1397,1,2,3,0,5,0,0.5,1.1,18.0,70.0,12.0,0.06,0.13,0.19
701,Rúben Dias,pt POR,Defender,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,26,30,28,2559,0,0,0,0,0,0,1.4,0.3,34.0,173.0,16.0,0.0,0.0,0.0
702,Krépin Diatta,sn SEN,Defender,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,24,26,12,1206,0,2,2,0,2,0,0.5,1.8,48.0,80.0,95.0,0.0,0.15,0.15
703,Mory Diaw,sn SEN,Goalkeeper,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,30,30,30,2700,0,0,0,0,3,0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0
704,Mahamadou Diawara,fr FRA,Midfielder,Lyon,4-3-3,16.1,53.6,84.7,14.3,fr Ligue 1,18,11,4,358,0,0,0,0,2,0,0.7,0.1,13.0,20.0,14.0,0.0,0.0,0.0
705,Brahim Díaz,ma MAR,Forward,Real Madrid,4-3-3,14.4,57.7,87.7,11.8,es La Liga,23,31,18,1545,8,6,14,0,0,0,5.7,4.4,76.0,75.0,166.0,0.47,0.35,0.82
706,Luis Díaz,co COL,Forward,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,26,37,32,2629,8,5,13,0,3,0,11.9,5.7,137.0,113.0,302.0,0.27,0.17,0.45
707,Víctor Díaz,es ESP,Defender,Granada,4-3-3,9.4,43.4,70.0,18.3,es La Liga,35,4,2,162,0,0,0,0,1,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
708,Famara Diedhiou,sn SEN,Forward,Granada,4-3-3,9.4,43.4,70.0,18.3,es La Liga,30,8,0,89,0,1,1,0,1,0,0.5,0.2,5.0,0.0,19.0,0.0,1.01,1.01
709,Justin Diehl,de GER,Forward,FC Koln,4-2-3-1,10.6,47.1,77.3,18.5,de Bundesliga,18,7,1,168,0,0,0,0,0,0,0.2,0.2,6.0,2.0,17.0,0.0,0.0,0.0
710,Bamba Dieng,sn SEN,Forward,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,23,16,5,549,4,1,5,0,3,0,3.2,1.6,5.0,4.0,44.0,0.66,0.16,0.82
712,Eric Dier,eng ENG,Defender,Bayern Munich,4-2-3-1,17.1,58.1,85.5,12.9,de Bundesliga,29,15,13,1166,0,0,0,0,1,0,0.7,0.1,8.0,53.0,1.0,0.0,0.0,0.0
713,Guillaume Dietsch,fr FRA,Goalkeeper,Metz,3-4-3,11.5,46.9,79.8,16.1,fr Ligue 1,22,1,0,73,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
